attributes,datatype,date,station,value
",,0,",SNOW,2010-09-12T00:00:00,GHCND:USW00094823,0
",,N,",PRCP,2010-09-12T00:00:00,GHCND:US1WAKG0038,0
",,N,",SNOW,2010-09-12T00:00:00,GHCND:US1WAKG0038,0
",,0,2400",PRCP,2010-09-12T00:00:00,GHCND:USW00012842,41
",,0,",SNOW,2010-09-12T00:00:00,GHCND:USW00012842,0
",,0,2400",PRCP,2010-09-12T00:00:00,GHCND:USW00013897,0
",,0,",SNOW,2010-09-12T00:00:00,GHCND:USW00013897,0
",,0,2400",PRCP,2010-09-13T00:00:00,GHCND:USW00014734,236
",,0,",SNOW,2010-09-13T00:00:00,GHCND:USW00014734,0
",,0,2400",PRCP,2010-09-19T00:00:00,GHCND:USW00013881,0
",,0,",SNOW,2010-09-19T00:00:00,GHCND:USW00013881,0
",,0,2400",PRCP,2010-09-19T00:00:00,GHCND:USW00014820,10
",,0,",SNOW,2010-09-19T00:00:00,GHCND:USW00014820,0
"T,,0,0600",PRCP,2010-09-19T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2010-09-19T00:00:00,GHCND:USW00023062,0
",,0,2400",PRCP,2010-09-19T00:00:00,GHCND:USW00014898,0
",,0,",SNOW,2010-09-19T00:00:00,GHCND:USW00014898,0
",,0,2400",PRCP,2010-09-19T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2010-09-19T00:00:00,GHCND:USW00014734,0
",,W,",PRCP,2010-09-19T00:00:00,GHCND:USW00023230,0
",,W,",PRCP,2010-09-19T00:00:00,GHCND:USW00093107,0
",,0,2400",PRCP,2010-09-19T00:00:00,GHCND:USW00013897,0
",,0,",SNOW,2010-09-19T00:00:00,GHCND:USW00013897,0
",,0,2400",PRCP,2010-09-20T00:00:00,GHCND:USW00023234,0
",,0,2400",PRCP,2010-09-26T00:00:00,GHCND:USW00093721,38
",,0,",SNOW,2010-09-26T00:00:00,GHCND:USW00093721,0
",,0,2400",PRCP,2010-09-26T00:00:00,GHCND:USW00013881,472
",,0,",SNOW,2010-09-26T00:00:00,GHCND:USW00013881,0
",,0,0600",PRCP,2010-09-26T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2010-09-26T00:00:00,GHCND:USW00023062,0
",,W,",PRCP,2010-09-26T00:00:00,GHCND:USW00093837,142
",,0,2400",PRCP,2010-09-26T00:00:00,GHCND:USW00012839,0
",,0,2400",PRCP,2010-09-26T00:00:00,GHCND:USC00190860,0
",,0,",SNOW,2010-09-26T00:00:00,GHCND:USC00190860,0
"T,,0,2400",PRCP,2010-09-26T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2010-09-26T00:00:00,GHCND:USW00014734,0
",,N,",PRCP,2010-09-26T00:00:00,GHCND:US1WAKG0038,41
",,0,2400",PRCP,2010-09-26T00:00:00,GHCND:USW00012842,10
",,0,",SNOW,2010-09-26T00:00:00,GHCND:USW00012842,0
",,0,2400",PRCP,2010-10-03T00:00:00,GHCND:USW00014820,64
",,0,",SNOW,2010-10-03T00:00:00,GHCND:USW00014820,0
",,0,2400",PRCP,2010-10-03T00:00:00,GHCND:USW00014898,0
",,0,",SNOW,2010-10-03T00:00:00,GHCND:USW00014898,0
",,W,",PRCP,2010-10-03T00:00:00,GHCND:USW00093837,0
",,0,2400",PRCP,2010-10-03T00:00:00,GHCND:USW00014734,5
",,0,",SNOW,2010-10-03T00:00:00,GHCND:USW00014734,0
",,W,",PRCP,2010-10-03T00:00:00,GHCND:USW00023230,0
",,0,2400",PRCP,2010-10-03T00:00:00,GHCND:USW00013739,13
",,0,",SNOW,2010-10-03T00:00:00,GHCND:USW00013739,0
",,0,2400",PRCP,2010-10-03T00:00:00,GHCND:USW00094823,74
",,0,",SNOW,2010-10-03T00:00:00,GHCND:USW00094823,0
",,W,",PRCP,2010-10-03T00:00:00,GHCND:USW00093107,0
",,0,2400",PRCP,2010-10-03T00:00:00,GHCND:USW00013897,0
",,0,",SNOW,2010-10-03T00:00:00,GHCND:USW00013897,0
